Usuario,A->A,A->D,A->E,A->F,A->P,A->V,D->A,D->D,D->E,D->F,D->P,D->V,E->A,E->D,E->E,E->F,E->P,E->V,F->A,F->D,F->E,F->F,F->P,F->V,P->A,P->D,P->E,P->F,P->P,P->V,V->A,V->D,V->E,V->F,V->P,V->V
3367681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778
6516343,0.3134920634920635,0.007936507936507936,0.0,0.007936507936507936,0.011904761904761904,0.015873015873015872,0.007936507936507936,0.14285714285714285,0.011904761904761904,0.003968253968253968,0.003968253968253968,0.015873015873015872,0.011904761904761904,0.007936507936507936,0.20238095238095238,0.0,0.0,0.05952380952380952,0.007936507936507936,0.007936507936507936,0.0,0.011904761904761904,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.015873015873015872,0.06746031746031746,0.003968253968253968,0.003968253968253968,0.027777777777777776
357495,0.36752136752136755,0.0,0.02564102564102564,0.0,0.02564102564102564,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.47863247863247865,0.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.008547008547008548,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.008547008547008548
4392202,0.3308270676691729,0.007518796992481203,0.0,0.0,0.0,0.015037593984962405,0.0,0.11278195488721804,0.0,0.0,0.0,0.03007518796992481,0.0,0.0,0.21804511278195488,0.0,0.007518796992481203,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.022556390977443608,0.007518796992481203,0.06015037593984962,0.0,0.0,0.12781954887218044
6392195,0.42410714285714285,0.0,0.004464285714285714,0.0,0.013392857142857142,0.008928571428571428,0.0,0.017857142857142856,0.004464285714285714,0.0,0.0,0.008928571428571428,0.022321428571428572,0.0,0.20089285714285715,0.0,0.0,0.11160714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.008928571428571428,0.004464285714285714,0.008928571428571428,0.125,0.0,0.0,0.026785714285714284
6496679,0.027450980392156862,0.00392156862745098,0.0,0.00392156862745098,0.0,0.0,0.00196078431372549,0.023529411764705882,0.00196078431372549,0.00196078431372549,0.0,0.00196078431372549,0.00196078431372549,0.0,0.027450980392156862,0.00392156862745098,0.0,0.0,0.00392156862745098,0.0,0.00392156862745098,0.8745098039215686,0.00196078431372549,0.00392156862745098,0.0,0.0,0.0,0.00196078431372549,0.0,0.0,0.0,0.00196078431372549,0.0,0.00392156862745098,0.0,0.00392156862745098
6513853,0.5138888888888888,0.027777777777777776,0.013888888888888888,0.0,0.0,0.0,0.0,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.0,0.027777777777777776,0.041666666666666664,0.013888888888888888,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0
4375228,0.5714285714285714,0.0,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142
6562835,0.19540229885057472,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.13793103448275862,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.27586206896551724,0.0,0.0,0.11494252873563218,0.0,0.0,0.0,0.034482758620689655,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.12643678160919541,0.0,0.0,0.05747126436781609
6567210,0.26523297491039427,0.0035842293906810036,0.0,0.0,0.007168458781362007,0.08243727598566308,0.0,0.017921146953405017,0.0,0.0,0.0,0.010752688172043012,0.007168458781362007,0.0,0.1111111111111111,0.0,0.007168458781362007,0.13620071684587814,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0035842293906810036,0.0,0.0,0.010752688172043012,0.08243727598566308,0.0035842293906810036,0.14695340501792115,0.0,0.0035842293906810036,0.0967741935483871
6653671,0.5652173913043478,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.13043478260869565
6531399,0.26857142857142857,0.011428571428571429,0.0,0.005714285714285714,0.011428571428571429,0.011428571428571429,0.0,0.03428571428571429,0.0,0.0,0.0,0.017142857142857144,0.02857142857142857,0.0,0.18285714285714286,0.0,0.005714285714285714,0.14857142857142858,0.0,0.0,0.0,0.0,0.005714285714285714,0.0,0.005714285714285714,0.005714285714285714,0.0,0.0,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.0,0.18285714285714286,0.0,0.0,0.05142857142857143
6504324,0.3050847457627119,0.0,0.0,0.0,0.022598870056497175,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.02824858757062147,0.0,0.1694915254237288,0.0,0.0,0.1638418079096045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02824858757062147,0.01694915254237288,0.0,0.192090395480226,0.0,0.005649717514124294,0.03954802259887006
6524047,0.25980392156862747,0.0,0.0,0.014705882352941176,0.00980392156862745,0.004901960784313725,0.0,0.004901960784313725,0.0,0.0,0.0,0.004901960784313725,0.0196078431372549,0.0,0.14215686274509803,0.0,0.0,0.09313725490196079,0.004901960784313725,0.0,0.014705882352941176,0.17647058823529413,0.00980392156862745,0.014705882352941176,0.0,0.0,0.0,0.00980392156862745,0.0,0.00980392156862745,0.004901960784313725,0.0,0.09803921568627451,0.024509803921568627,0.0,0.0784313725490196
79563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855
4415424,0.3118279569892473,0.005376344086021506,0.005376344086021506,0.0,0.010752688172043012,0.021505376344086023,0.0,0.0,0.0,0.005376344086021506,0.0,0.005376344086021506,0.016129032258064516,0.0,0.14516129032258066,0.0,0.005376344086021506,0.12903225806451613,0.0,0.0,0.0,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0,0.005376344086021506,0.0,0.016129032258064516,0.026881720430107527,0.005376344086021506,0.14516129032258066,0.0,0.005376344086021506,0.11827956989247312
6433011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.29411764705882354
6264422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.11764705882352941
6447390,0.2,0.0,0.0,0.02040816326530612,0.0,0.012244897959183673,0.0,0.12653061224489795,0.0,0.0,0.0,0.012244897959183673,0.02040816326530612,0.00816326530612245,0.12653061224489795,0.00816326530612245,0.0,0.09795918367346938,0.004081632653061225,0.0,0.004081632653061225,0.1346938775510204,0.0163265306122449,0.0163265306122449,0.0,0.0,0.0,0.00816326530612245,0.0,0.012244897959183673,0.00816326530612245,0.004081632653061225,0.1306122448979592,0.00816326530612245,0.004081632653061225,0.0163265306122449
84470,0.2647058823529412,0.0,0.0,0.0058823529411764705,0.01764705882352941,0.023529411764705882,0.0,0.029411764705882353,0.0,0.0,0.0,0.0058823529411764705,0.023529411764705882,0.0,0.11176470588235295,0.0,0.0,0.16470588235294117,0.0,0.0,0.0,0.01764705882352941,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.023529411764705882,0.0058823529411764705,0.18823529411764706,0.0,0.0058823529411764705,0.08235294117647059
6586257,0.2558922558922559,0.003367003367003367,0.0,0.0,0.0,0.003367003367003367,0.0,0.31986531986531985,0.0,0.0,0.0,0.006734006734006734,0.003367003367003367,0.0,0.1414141414141414,0.0,0.0,0.09427609427609428,0.0,0.0,0.0,0.0,0.0,0.003367003367003367,0.0,0.0,0.0,0.0,0.0,0.0,0.003367003367003367,0.003367003367003367,0.10101010101010101,0.003367003367003367,0.0,0.05723905723905724
4404179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.03125,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.1875,0.0,0.0,0.21875
6130735,0.30303030303030304,0.0,0.0,0.0,0.015151515151515152,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.1414141414141414,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.06060606060606061,0.0,0.005050505050505051,0.0,0.0,0.0,0.005050505050505051,0.0,0.010101010101010102,0.020202020202020204,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456
6064838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6417346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.16279069767441862,0.023255813953488372,0.0,0.09302325581395349,0.0,0.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.0,0.3488372093023256
6444384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.04,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08
6548688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.38095238095238093
131502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667
5727811,0.4024390243902439,0.0,0.006097560975609756,0.0,0.024390243902439025,0.012195121951219513,0.0,0.018292682926829267,0.0,0.0,0.0,0.006097560975609756,0.03048780487804878,0.0,0.2926829268292683,0.0,0.0,0.06707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018292682926829267,0.0,0.0,0.006097560975609756,0.012195121951219513,0.0,0.07317073170731707,0.0,0.006097560975609756,0.024390243902439025
5170987,0.5546875,0.0,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.12903225806451613,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.12903225806451613,0.0,0.0,0.2903225806451613
