Usuario|NumEventos_Ed1|NumInteraccVideos_Ed1|NumInteraccProy_Ed1|NumInteraccDoc_Ed1|NumInteraccForo_Ed1|NumInteraccProb_Ed1|NumInteraccEjer_Ed1|NumInteraccActiv_Ed1|NumProbCorrect_Ed1|NumProbAttepts_Ed1|NotaProy_Ed1|WordsForum_Ed1|A->A_Ed1|A->D_Ed1|A->E_Ed1|A->F_Ed1|A->P_Ed1|A->V_Ed1|D->A_Ed1|D->D_Ed1|D->E_Ed1|D->F_Ed1|D->P_Ed1|D->V_Ed1|E->A_Ed1|E->D_Ed1|E->E_Ed1|E->F_Ed1|E->P_Ed1|E->V_Ed1|F->A_Ed1|F->D_Ed1|F->E_Ed1|F->F_Ed1|F->P_Ed1|F->V_Ed1|P->A_Ed1|P->D_Ed1|P->E_Ed1|P->F_Ed1|P->P_Ed1|P->V_Ed1|V->A_Ed1|V->D_Ed1|V->E_Ed1|V->F_Ed1|V->P_Ed1|V->V_Ed1|NumSEJavaCorrect|suspect
6785550|136|74|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0|0
6787924|30|11|0|14|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8125|0.0|0.0|0.0|0.0625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.125|0|0
6790130|104|74|0|1|1|14|0|0|7|14|0|59|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|0.0|0.1|0.0|0.6|7|0
679164|655|412|4|2|12|131|49|67|121|167|28|0|0.3409090909090909|0.0|0.0|0.005681818181818182|0.011363636363636364|0.022727272727272728|0.0|0.005681818181818182|0.005681818181818182|0.0|0.0|0.0|0.011363636363636364|0.0|0.11363636363636363|0.005681818181818182|0.0|0.14772727272727273|0.0|0.005681818181818182|0.005681818181818182|0.03409090909090909|0.0|0.017045454545454544|0.0|0.0|0.0|0.0|0.005681818181818182|0.017045454545454544|0.028409090909090908|0.0|0.1534090909090909|0.022727272727272728|0.005681818181818182|0.03409090909090909|8|0
6792509|381|336|0|5|2|15|0|0|8|16|0|49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05|0.0|0.1|0.0|0.55|8|0
6793401|85|36|0|39|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8260869565217391|0.0|0.0|0.0|0.021739130434782608|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.15217391304347827|0|0
6796377|94|77|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0|0
6797764|86|72|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0|0
6799103|6|0|0|0|0|6|0|0|2|6|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2|0
6808072|34|14|0|15|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7777777777777778|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.05555555555555555|0.0|0.0|0.0|0.16666666666666666|0|0
6810839|47|32|0|0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0|0
